account_id,balance,owner_id
1,777572,52
2,146316,458
3,776646,347
4,619176,45
5,98246,62
6,631262,1035
7,750800,408
8,439898,1117
9,291704,1207
10,795667,4
11,443143,358
12,225772,319
13,107175,173
14,376417,199
15,277370,310
16,481741,374
17,967096,1993
18,307419,1131
19,928463,317
20,201629,296
21,693384,24
22,83667,593
23,398591,52
24,874628,1302
25,372528,759
26,735911,547
27,74870,332
28,560086,351
29,484714,84
30,671088,1896
31,717870,450
32,813694,1574
33,33659,1684
34,280746,206
35,988712,1871
36,329963,1471
37,414850,1023
38,481141,330
39,258607,286
40,275504,276
41,941435,220
42,229974,742
43,534277,71
44,49405,1548
45,657924,79
46,442666,1394
47,400156,789
48,554816,959
49,902592,1134
50,755731,349
51,563054,1813
52,672097,394
53,455884,602
54,757168,7
55,524902,135
56,956959,260
57,312942,1281
58,638551,260
59,799550,766
60,816449,1953
61,628038,1
62,117301,40
63,251083,158
64,594916,1799
65,767460,44
66,797549,142
67,134628,258
68,576510,1940
69,914812,1081
70,222086,1976
71,765388,387
72,326858,1461
73,681446,1376
74,542717,1843
75,235612,508
76,616886,44
77,230914,1206
78,661759,1450
79,949401,139
80,74299,677
81,701474,571
82,138739,1105
83,604201,293
84,495948,1607
85,98907,98
86,371507,883
87,905798,957
88,685197,345
89,63556,51
90,839482,695
91,200896,128
92,146991,919
93,485100,571
94,79046,1891
95,897546,1765
96,683823,104
97,97793,8
98,174389,122
99,224130,986
100,172634,31
101,278085,800
102,299105,233
103,765990,1961
104,694022,285
105,199122,80
106,61324,1984
107,63918,1111
108,52578,30
109,964047,1030
110,59642,81
111,892697,42
112,71262,1219
113,423389,482
114,597347,1824
115,41672,1218
116,689305,859
117,331737,1071
118,702258,105
119,278517,123
120,676856,1376
121,974146,648
122,9767,38
123,104837,1154
124,530458,437
125,365962,1912
126,387477,126
127,874244,898
128,641390,620
129,554634,335
130,581542,1674
131,108618,1359
132,277312,69
133,778480,220
134,295442,558
135,359536,1470
136,894343,1299
137,263319,1001
138,96781,27
139,290120,1699
140,808577,684
141,169430,537
142,739945,283
143,117308,20
144,724586,1809
145,37778,280
146,579364,299
147,43860,262
148,978413,1842
149,942590,21
150,261650,1397
151,818011,725
152,426117,1792
153,162060,384
154,906604,122
155,850155,1639
156,25990,845
157,348321,1894
158,841204,211
159,850132,1506
160,825622,327
161,914533,196
162,233238,964
163,482662,1881
164,833980,1681
165,24813,115
166,344207,817
167,810891,143
168,534150,1314
169,562262,1728
170,120944,57
171,187241,134
172,40115,544
173,362479,890
174,457592,161
175,121263,1048
176,199312,1181
177,457239,1452
178,845687,1896
179,985937,1474
180,206606,344
181,994967,144
182,653425,677
183,130679,1737
184,531756,154
185,342027,837
186,581343,606
187,697229,862
188,784475,347
189,596750,316
190,874224,1123
191,220392,588
192,636130,1188
193,463246,953
194,536004,438
195,834692,1846
196,88914,338
197,663686,1360
198,858179,192
199,705477,121
200,208802,1652
201,256736,95
202,891014,313
203,434572,234
204,203880,295
205,518392,197
206,687926,303
207,787443,1829
208,816232,55
209,843170,361
210,487115,266
211,962037,511
212,139816,234
213,556932,342
214,332711,305
215,642412,227
216,447470,259
217,467574,281
218,903342,381
219,788295,531
220,290782,1306
221,508136,267
222,461239,563
223,245884,586
224,936406,655
225,158157,284
226,160227,1422
227,435020,33
228,488557,1112
229,873349,424
230,807189,1854
231,20480,1425
232,603655,392
233,988536,13
234,408930,1544
235,564365,215
236,838722,280
237,511945,452
238,509232,893
239,701364,689
240,759359,829
241,964209,958
242,560069,1275
243,620644,807
244,88025,56
245,908959,278
246,272793,103
247,476786,434
248,922369,1559
249,997409,1541
250,875467,130
251,785408,40
252,366960,1950
253,819182,141
254,790870,21
255,209044,507
256,159784,319
257,701978,970
258,228552,1942
259,804150,525
260,636745,1241
261,120096,368
262,326147,84
263,974008,53
264,952134,1388
265,987203,204
