txn_id,acc_from,acc_to,amount,txn_time
1,3,849,13495,199027
2,5,4139,76143,345071
3,1,8373,12210,172265
4,1,7353,6080,59999
5,2,9816,20458,216147
6,4,697,58494,25127
7,1,8408,82458,282813
8,1,1075,59541,83537
9,2,8663,21707,314908
10,156,9016,22788,341460
11,31,4850,39210,276079
12,1,495,86575,10088
13,2,8460,66538,345911
14,3,5553,74049,96391
15,4,7651,82752,144500
16,1,6865,70758,1145
17,2,9705,89840,58895
18,7,6306,14442,89911
19,14,6655,51369,69433
20,1,543,69519,69977
21,21,3934,81907,62940
22,2,2871,55218,102037
23,5,4335,36781,141204
24,1,9747,50003,330414
25,5,4147,43780,273637
26,6,7939,770,42585
27,1,4838,86760,344851
28,1,2660,86197,196050
29,1,9776,2434,307006
30,1,2560,29207,240402
31,1,147,23939,289051
32,62,9337,59160,212373
33,17,964,32759,319840
34,1,7355,101,69133
35,74,4812,31757,196835
36,1,5052,5509,184513
37,1,6962,33534,262791
38,9,8730,57622,192528
39,11,4562,89086,8530
40,439,6556,91972,142595
41,21,8357,71669,77003
42,1,9339,59215,261312
43,1,6053,36235,209750
44,2,3238,16669,121017
45,2,6245,52853,243057
46,4,8667,53445,148743
47,3,2120,48868,304862
48,1,7940,87370,91321
49,1,828,33630,97516
50,4,6340,24186,86920
51,276,9236,81250,67534
52,1,6832,52187,38101
53,350,9326,76469,214005
54,1,5649,49409,319959
55,1181,9844,86155,80909
56,3,9883,96209,287395
57,1,5253,98501,289851
58,8,6551,72874,269887
59,2,8118,59106,320296
60,1,7108,1620,157868
61,1,4175,68838,90528
62,1,4121,79693,129510
63,1,3280,79053,276762
64,9,9823,11094,81138
65,2141,6594,1291,15378
66,1,1090,37958,155971
67,1,7642,52285,76963
68,21,1104,39972,341869
69,5,554,37257,295711
70,1,4924,15494,8747
71,1,9420,64974,168505
72,1,8906,61614,69414
73,1,8850,56988,337866
74,1,6288,38945,83765
75,8,2219,38909,5955
76,1,2480,7290,271891
77,1,5519,30426,16243
78,3,7938,55919,224452
79,4,1677,81578,136850
80,3,6565,16398,297998
81,130,8933,4451,340282
82,1491,6063,52731,279943
83,1,71,11165,248439
84,5,4031,82307,1457
85,2,6693,53614,52694
86,117,7056,74957,174696
87,682,2506,99313,341646
88,70,4758,882,162331
89,1,5036,64324,135072
90,1,2677,41680,118248
91,317,3182,63198,346280
92,4,6631,12706,6676
93,1,8032,64995,102997
94,4,1201,65055,183298
95,1,6866,11294,301780
96,10,2939,5897,76868
97,6,9566,78332,37216
98,3,8449,63476,101385
99,1,661,24888,156380
100,8,4816,40700,144212
101,23,4696,72084,319257
102,1,4439,64669,226101
103,1,8758,54524,67461
104,11,5165,8610,2694
105,6,7708,54204,168482
106,1,9967,9345,247054
107,4,9132,46830,47096
108,2,3915,86169,87273
109,29,9718,45497,41135
110,1,6284,25243,134110
111,1,1203,73184,185608
112,2,5642,45393,285532
113,8,1564,42069,236922
114,1,6430,87698,191756
115,1,1917,52216,24585
116,5,7747,353,26518
117,1,9632,32222,6607
118,7,5226,40863,61463
119,3,302,99765,130362
120,4,8945,19610,93434
121,1,8842,3164,357026
122,1,6269,51598,84054
123,10,654,31267,269349
124,1,8913,72704,209370
125,6,4567,82359,363528
126,9,7288,70016,283370
127,1,6419,42166,82549
128,4,5537,11868,200350
129,1,7166,92969,314737
130,1,3338,94684,124115
131,1,6841,17322,104904
132,1,3111,79286,245589
133,1,339,65948,265934
134,51,7078,63883,22320
135,2,9915,73190,253215
136,2538,698,78196,88179
137,1,1925,78576,322508
138,1,4623,29145,41346
139,1,2380,51092,198481
140,1,5494,70401,144535
141,3,9190,6167,179784
142,1,6543,31585,97765
143,5,1826,77857,344037
144,2,4838,59615,358479
145,5,2604,19234,9485
146,1,9841,61655,355531
147,1,7822,35736,190505
148,7,4855,62948,29730
149,29,2255,83962,103121
150,1,1041,37916,204683
151,9,9377,44428,127864
152,3,6902,63691,203155
153,6057,2168,53405,94269
154,1,9441,49274,1456
155,1,223,18071,201520
156,1,8760,39480,8622
157,1,7966,72814,235104
158,1,6362,67756,210389
159,1,850,51560,123997
160,1,6485,31288,227527
161,19,6078,5770,67773
162,8,1438,84801,332025
163,2,132,81769,285747
164,3,180,28359,307570
165,1,1938,21615,30777
166,15,3888,83768,15107
167,1,2217,3055,318930
168,1,2590,90251,104874
169,10,7538,99219,194526
170,3,9789,48060,121250
171,26,9413,85101,97871
172,401,683,6494,326779
173,7,7052,5636,69756
174,28,7594,45721,258473
175,111,5271,33789,143317
176,865,9676,17966,22988
177,1,9124,79296,147596
178,6,5397,29509,269377
179,1,9134,2136,330628
180,3,8979,78020,204100
181,1,5741,69389,110815
182,1,4637,99889,173105
183,2,6655,20566,88015
184,4,6079,19584,64670
185,2,8111,6860,165097
186,6,6225,1583,123069
187,408,6692,13442,220201
188,21,5073,71010,221804
189,1,172,38841,235358
190,29,2528,99323,221040
191,53,6654,2102,68725
192,1,1031,47969,264225
193,1,1164,49082,104359
194,6,1112,57832,120796
195,6,1478,55465,260598
196,15,5178,55476,28296
197,1,7210,74984,32422
198,1,2937,33510,158452
199,1,4019,77429,171127
200,1,9293,34780,29683
201,7,4329,95935,191558
202,1,5241,91016,245125
203,3,5232,94724,241296
204,1,1310,99415,337110
205,105,9431,69668,208594
206,2,4921,94176,212136
207,3,7040,43267,203604
208,40,9073,30809,102136
209,37,9950,64868,138330
210,4,9168,60294,207612
211,3,114,49055,360011
212,2,3044,31836,363890
213,2,7767,95819,46506
214,3,4004,784,336797
215,1,3042,21489,13387
216,4,7086,64078,126823
217,1,2354,90467,316515
218,6,3485,89472,69868
219,1,6634,37893,135831
220,1,9187,17482,168905
221,1,2685,51746,241272
222,1,9728,85557,97954
223,1,7198,62050,124129
224,4,2613,29339,280451
225,30,2306,6126,71650
226,1,2988,2844,301588
227,1,3,8554,221921
228,4,3735,99765,91849
229,2,4807,18128,111369
230,279,8105,86487,37016
231,4,8607,19576,318824
232,1,7918,43438,168340
233,28,5379,35223,361782
234,1,6374,7547,232032
235,1,9313,90404,319476
236,4,3306,72236,115940
237,1,62,93929,206228
238,12,4029,27977,353074
239,1,7087,81975,78931
240,67,8074,58904,245073
241,2,3339,9888,217144
242,41,8295,91730,17706
243,214,6584,39157,250685
244,1,7258,453,108704
245,3,858,31201,198418
246,13,5490,80526,164203
247,1,8249,39877,70922
248,4,1390,95411,19710
249,4,4875,95411,28126
250,1,8128,35423,9701
251,5,7117,62029,192322
252,2,7013,59434,220331
253,1,9326,318,225287
254,19,226,5245,128509
255,7,3128,66632,347268
256,908,6612,34390,215810
257,8,4633,75193,234785
258,1,9749,63662,338527
259,3,1712,68514,114080
260,830,9351,89050,253968
261,9,8875,92808,145646
262,22,9801,10144,135103
263,4,8292,56001,18026
264,3,5161,41102,7449
265,30,9785,92039,346995
266,1,6832,57216,155504
267,1,2160,97689,116619
268,569,4215,49940,53179
269,1,2572,94189,287338
270,3,8744,85317,39128
271,5,1710,43195,322919
272,1,5562,29882,131847
273,1,1200,23915,359167
274,2,2677,18019,101245
275,16,8701,92170,159481
276,126,4919,22627,333959
277,1,6516,93734,241747
278,9,8056,8417,269166
279,11,8624,18527,67512
280,1,8616,84275,286281
281,5,948,43232,344596
282,3,4754,8834,203389
283,3,6299,91427,40389
284,1449,3276,91477,133913
285,3,6064,52536,160405
286,2,9421,78573,281271
287,479,4441,51304,12846
288,9,5318,67544,224596
289,6,4413,74367,202806
290,1,8874,31647,1944
291,26,7288,20207,105556
292,2,1956,6645,284691
293,1,2306,54681,43870
294,1,2170,972,51882
295,2,5839,41767,235730
296,6,6658,36410,173301
297,2,8565,52245,169070
298,1,5874,64689,184584
299,1,2821,33393,246552
300,2,94,898,27422
301,2,7314,44248,273165
302,12,6799,69594,69622
303,1,942,46847,37378
304,2,5782,33470,170444
305,1,2870,33645,158617
306,1,8394,77166,320667
307,2,4852,648,75351
308,14,3305,26423,277498
309,2,8756,55811,8907
310,2,3824,41718,246391
311,30,1041,59328,10423
312,244,6689,25427,23899
313,38,4888,35099,80679
314,71,8400,84278,215594
