account_id,balance,owner_id
1,671487,15
2,27225,95
3,289389,32
4,235053,18
5,773246,14
6,710570,95
7,936518,70
8,92161,76
9,443417,5
10,32244,12
11,230258,30
12,530903,78
13,28824,72
14,209496,92
15,682453,90
16,572412,54
17,232148,58
18,618889,36
19,849749,1
20,796667,21
21,733052,55
22,357778,36
23,164032,28
24,801581,44
25,108175,12
26,399382,13
27,377417,45
28,634052,34
29,847335,6
30,766179,59
31,563275,16
32,968096,49
33,83627,71
34,308419,81
35,649564,47
36,606397,25
37,739797,9
38,49050,85
39,239968,99
40,304445,11
41,897865,30
42,909573,13
43,399591,36
44,476435,82
45,875628,47
46,171555,48
47,373528,27
48,703729,35
49,736911,88
50,680514,10
51,639720,82
52,180451,69
53,765544,32
54,172339,60
55,398887,35
56,971342,82
57,722590,72
58,231283,88
59,341035,99
60,814694,8
61,241174,5
62,845151,41
63,421651,35
64,70403,28
65,958492,73
66,919938,92
67,330963,28
68,688277,64
69,415850,83
70,482141,19
71,278746,18
72,259607,96
73,589637,69
74,276504,96
75,613982,55
76,942435,75
77,419801,47
78,230974,18
79,535277,64
80,96325,97
81,50405,15
82,161265,81
83,168753,88
84,443666,77
85,67613,50
86,401156,77
87,491785,68
88,264626,71
89,903592,2
90,714328,93
91,121116,88
92,928767,69
93,788352,35
94,806934,83
95,357699,15
96,308757,56
97,166840,59
98,4402,93
99,919398,93
100,277183,65
101,799975,23
102,533342,14
103,913804,81
104,313942,82
105,533323,78
106,209573,20
107,393077,98
108,170396,70
109,817449,68
110,964110,1
111,629038,42
112,513340,3
113,118301,47
114,922406,40
115,252083,8
116,253572,73
117,993948,11
118,90814,94
119,510597,9
120,798549,69
121,804035,17
122,135628,85
123,499369,71
124,174148,34
125,554306,78
126,444692,28
127,975036,70
128,792952,94
129,724378,26
130,748581,40
131,419373,86
132,682446,48
133,460381,67
134,474417,16
135,260947,29
136,68136,44
137,23056,76
138,581828,30
139,618024,29
140,8540,10
141,743225,81
142,62733,30
143,71674,5
144,902393,43
145,75299,66
146,250565,36
147,702474,63
148,225643,70
149,139739,93
150,981957,74
151,605201,61
152,255801,61
153,847721,53
154,200659,13
155,102639,85
156,452989,46
157,445154,53
158,490710,94
159,57802,87
160,686197,83
161,104198,8
162,423179,94
163,356784,14
164,261735,25
165,200448,69
166,471405,18
167,443374,24
168,293075,60
169,262941,10
170,465656,71
171,103664,7
172,684823,70
173,877638,2
174,98793,97
175,890921,31
176,175389,53
177,510231,62
178,225130,52
179,947279,8
180,173634,49
181,3260,50
182,279085,59
183,300105,55
184,731429,94
185,822414,72
186,695022,92
187,511311,20
188,200122,38
189,229275,8
190,608314,95
191,569532,8
192,785309,41
193,60942,7
194,613554,62
195,528276,68
196,166080,8
197,533496,11
198,893697,24
199,72849,77
200,72262,87
