system,query,dataset,num_accounts,num_edges,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows
nebuladb,aml_2hop,ibm_aml_hi_small,515088,5078345,1,0,43173.835999999996,440.926,42732.909999999996,7983
nebuladb,aml_3hop,ibm_aml_hi_small,515088,5078345,1,0,83450.36,440.926,83009.434,78141
nebuladb,aml_4hop,ibm_aml_hi_small,515088,5078345,1,0,139473.806,440.926,139032.88,1040913
nebuladb,aml_5hop,ibm_aml_hi_small,515088,5078345,1,0,467451.82499999995,440.926,467010.899,14230753
nebuladb,aml_2hop,ibm_aml_hi_medium,2077023,31898238,1,0,312581.28199999995,3815.763,308765.519,8448
nebuladb,aml_3hop,ibm_aml_hi_medium,2077023,31898238,1,0,592453.6810000001,3815.763,588637.9180000001,135468
nebuladb,aml_4hop,ibm_aml_hi_medium,2077023,31898238,1,0,951709.704,3815.763,947893.941,3222046
nebuladb,aml_5hop,ibm_aml_hi_medium,2077023,31898238,1,0,3217799.258,3815.763,3213983.495,81633572
nebuladb,aml_2hop,ibm_aml_hi_large,2116168,179702229,1,0,,,,OOM
nebuladb,aml_3hop,ibm_aml_hi_large,2116168,179702229,1,0,,,,SKIPPED
nebuladb,aml_4hop,ibm_aml_hi_large,2116168,179702229,1,0,,,,SKIPPED
