system,dataset,workload,query,edges,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows
nebuladb,banking_1M,banking,banking_2hop,5000000,1,0,42958.446,396.974,42561.472,2635
obliviator_chained,banking_1M,banking,banking_2hop,5000000,1,0,43748.249,,,23264179
full_mwj_no_filter,banking_1M,banking,banking_2hop,5000000,1,0,591628.721,,591628.721,23264179
nebuladb,hi_small,aml,aml_2hop,5078345,1,0,43234.547,349.714,42884.833,7983
obliviator_chained,hi_small,aml,aml_2hop,5078345,1,0,1154904.47,,,355144984
full_mwj_no_filter,hi_small,aml,aml_2hop,5078345,1,0,,,,OOM
nebuladb,snb_sf30,snb,snb_2hop,12035314,1,0,109058.38399999999,829.045,108229.33899999999,106
obliviator_chained,snb_sf30,snb,snb_2hop,12035314,1,0,,,,TIMEOUT
full_mwj_no_filter,snb_sf30,snb,snb_2hop,12035314,1,0,,,,OOM
nebuladb,patents,snap,snap_2hop,16518948,1,0,149118.532,2002.246,147116.286,6142
obliviator_chained,patents,snap,snap_2hop,16518948,1,0,286525.078,,,82152992
full_mwj_no_filter,patents,snap,snap_2hop,16518948,1,0,2224750.8400000003,,2224750.8400000003,82152992
nebuladb,hi_medium,aml,aml_2hop,31898238,1,0,301526.35099999997,3184.847,298341.50399999996,8448
obliviator_chained,hi_medium,aml,aml_2hop,31898238,1,0,,,,TIMEOUT
full_mwj_no_filter,hi_medium,aml,aml_2hop,31898238,1,0,,,,OOM
nebuladb,hi_large,aml,aml_2hop,179702229,1,0,1445006.54,22811.857,1422194.683,245424
obliviator_chained,hi_large,aml,aml_2hop,179702229,1,0,,,,TIMEOUT
full_mwj_no_filter,hi_large,aml,aml_2hop,179702229,1,0,,,,OOM
nebuladb,banking_1M,banking,banking_2hop,5000000,2,0,42768.702000000005,386.908,42381.794,2635
obliviator_chained,banking_1M,banking,banking_2hop,5000000,2,0,44359.412,,,23264179
full_mwj_no_filter,banking_1M,banking,banking_2hop,5000000,2,0,590218.13,,590218.13,23264179
nebuladb,hi_small,aml,aml_2hop,5078345,2,0,43927.526,342.291,43585.235,7983
obliviator_chained,hi_small,aml,aml_2hop,5078345,2,0,1163205.935,,,355144984
full_mwj_no_filter,hi_small,aml,aml_2hop,5078345,2,0,,,,OOM
nebuladb,snb_sf30,snb,snb_2hop,12035314,2,0,108536.827,786.721,107750.106,106
obliviator_chained,snb_sf30,snb,snb_2hop,12035314,2,0,,,,TIMEOUT
full_mwj_no_filter,snb_sf30,snb,snb_2hop,12035314,2,0,,,,OOM
nebuladb,patents,snap,snap_2hop,16518948,2,0,149958.893,2018.785,147940.108,6142
obliviator_chained,patents,snap,snap_2hop,16518948,2,0,287556.651,,,82152992
full_mwj_no_filter,patents,snap,snap_2hop,16518948,2,0,2219420.625,,2219420.625,82152992
nebuladb,hi_medium,aml,aml_2hop,31898238,2,0,298090.017,3183.781,294906.236,8448
obliviator_chained,hi_medium,aml,aml_2hop,31898238,2,0,,,,TIMEOUT
full_mwj_no_filter,hi_medium,aml,aml_2hop,31898238,2,0,,,,OOM
nebuladb,hi_large,aml,aml_2hop,179702229,2,0,1451899.92,22829.811,1429070.109,245424
obliviator_chained,hi_large,aml,aml_2hop,179702229,2,0,,,,TIMEOUT
full_mwj_no_filter,hi_large,aml,aml_2hop,179702229,2,0,,,,OOM
nebuladb,banking_1M,banking,banking_2hop,5000000,3,0,42712.674,390.966,42321.708,2635
obliviator_chained,banking_1M,banking,banking_2hop,5000000,3,0,46548.606,,,23264179
full_mwj_no_filter,banking_1M,banking,banking_2hop,5000000,3,0,587043.932,,587043.932,23264179
nebuladb,hi_small,aml,aml_2hop,5078345,3,0,43533.016,332.945,43200.071,7983
obliviator_chained,hi_small,aml,aml_2hop,5078345,3,0,1129029.869,,,355144984
full_mwj_no_filter,hi_small,aml,aml_2hop,5078345,3,0,,,,OOM
nebuladb,snb_sf30,snb,snb_2hop,12035314,3,0,107841.743,843.964,106997.779,106
obliviator_chained,snb_sf30,snb,snb_2hop,12035314,3,0,,,,TIMEOUT
full_mwj_no_filter,snb_sf30,snb,snb_2hop,12035314,3,0,,,,OOM
nebuladb,patents,snap,snap_2hop,16518948,3,0,149512.985,1960.052,147552.933,6142
obliviator_chained,patents,snap,snap_2hop,16518948,3,0,291525.166,,,82152992
full_mwj_no_filter,patents,snap,snap_2hop,16518948,3,0,2245987.0340000005,,2245987.0340000005,82152992
nebuladb,hi_medium,aml,aml_2hop,31898238,3,0,299403.43,3259.691,296143.739,8448
obliviator_chained,hi_medium,aml,aml_2hop,31898238,3,0,,,,TIMEOUT
full_mwj_no_filter,hi_medium,aml,aml_2hop,31898238,3,0,,,,OOM
nebuladb,hi_large,aml,aml_2hop,179702229,3,0,1453348.719,22779.438,1430569.281,245424
obliviator_chained,hi_large,aml,aml_2hop,179702229,3,0,,,,TIMEOUT
full_mwj_no_filter,hi_large,aml,aml_2hop,179702229,3,0,,,,OOM
