system,dataset,workload,query,edges,n_runs,median_ms,mean_ms,min_ms,max_ms,stddev_ms,output_rows
full_mwj_no_filter,banking_1M,banking,banking_2hop,5000000,3,590218.13,589630.261,587043.932,591628.721,2348.2472217594477,23264179
full_mwj_no_filter,hi_large,aml,aml_2hop,179702229,0,,,,,,OOM
full_mwj_no_filter,hi_medium,aml,aml_2hop,31898238,0,,,,,,OOM
full_mwj_no_filter,hi_small,aml,aml_2hop,5078345,0,,,,,,OOM
full_mwj_no_filter,patents,snap,snap_2hop,16518948,3,2224750.8400000003,2230052.833,2219420.625,2245987.0340000005,14054.425250356648,82152992
full_mwj_no_filter,snb_sf30,snb,snb_2hop,12035314,0,,,,,,OOM
nebuladb,banking_1M,banking,banking_2hop,5000000,3,42768.702000000005,42813.274000000005,42712.674,42958.446,128.80592526743635,2635
nebuladb,hi_large,aml,aml_2hop,179702229,3,1451899.92,1450085.0596666664,1445006.54,1453348.719,4457.384450452994,245424
nebuladb,hi_medium,aml,aml_2hop,31898238,3,299403.43,299673.266,298090.017,301526.35099999997,1733.9857093012477,8448
nebuladb,hi_small,aml,aml_2hop,5078345,3,43533.016,43565.02966666667,43234.547,43927.526,347.59693576085067,7983
nebuladb,patents,snap,snap_2hop,16518948,3,149512.985,149530.1366666667,149118.532,149958.893,420.4429656116696,6142
nebuladb,snb_sf30,snb,snb_2hop,12035314,3,108536.827,108478.98466666667,107841.743,109058.38399999999,610.3794986435299,106
obliviator_chained,banking_1M,banking,banking_2hop,5000000,3,44359.412,44885.42233333333,43748.249,46548.606,1472.41807410203,23264179
obliviator_chained,hi_large,aml,aml_2hop,179702229,0,,,,,,TIMEOUT
obliviator_chained,hi_medium,aml,aml_2hop,31898238,0,,,,,,TIMEOUT
obliviator_chained,hi_small,aml,aml_2hop,5078345,3,1154904.47,1149046.7580000001,1129029.869,1163205.935,17825.135741847764,355144984
obliviator_chained,patents,snap,snap_2hop,16518948,3,287556.651,288535.63166666665,286525.078,291525.166,2639.8905964483533,82152992
obliviator_chained,snb_sf30,snb,snb_2hop,12035314,0,,,,,,TIMEOUT
