system,query,shape,edges,dataset,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,0,1,43523.136999999995,360.31,43162.827,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,0,1,,,,TIMEOUT
obliviator_chained,aml_2hop,chain,2,ibm_aml_hi_small,0,1,512338.379,,,149212726
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,0,1,83689.056,360.31,83328.746,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,0,1,,,,SKIPPED
obliviator_chained,aml_3hop,chain,3,ibm_aml_hi_small,0,1,,,,OOM
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,0,1,137783.465,360.31,137423.155,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,0,1,,,,SKIPPED
obliviator_chained,aml_4hop,chain,4,ibm_aml_hi_small,0,1,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,0,1,251128.56199999998,360.31,250768.25199999998,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,0,1,,,,SKIPPED
obliviator_chained,aml_fanin,fanin,4,ibm_aml_hi_small,0,1,,,,UNSUPPORTED
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,0,1,281740.105,360.31,281379.795,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,0,1,,,,SKIPPED
obliviator_chained,aml_fanout,fanout,4,ibm_aml_hi_small,0,1,,,,UNSUPPORTED
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,0,1,193921.70500000002,360.31,193561.39500000002,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,0,1,,,,SKIPPED
obliviator_chained,aml_tree,tree,4,ibm_aml_hi_small,0,1,,,,UNSUPPORTED
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,1,0,44118.820999999996,351.38,43767.441,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,1,0,,,,SKIPPED
obliviator_chained,aml_2hop,chain,2,ibm_aml_hi_small,1,0,515248.25899999996,,,149212726
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,1,0,84245.88600000001,351.38,83894.50600000001,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,1,0,,,,SKIPPED
obliviator_chained,aml_3hop,chain,3,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,1,0,137011.642,351.38,136660.262,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,1,0,,,,SKIPPED
obliviator_chained,aml_4hop,chain,4,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,248805.531,351.38,248454.15099999998,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,,,,SKIPPED
obliviator_chained,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,,,,UNSUPPORTED
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,280350.187,351.38,279998.807,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,,,,SKIPPED
obliviator_chained,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,,,,UNSUPPORTED
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,1,0,194234.951,351.38,193883.571,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,1,0,,,,SKIPPED
obliviator_chained,aml_tree,tree,4,ibm_aml_hi_small,1,0,,,,UNSUPPORTED
