system,query,shape,edges,dataset,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,0,,,,,TIMEOUT
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,0,,,,,SKIPPED
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,0,,,,,SKIPPED
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,0,,,,,SKIPPED
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,0,,,,,SKIPPED
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,0,,,,,SKIPPED
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,1,44118.820999999996,44118.820999999996,44118.820999999996,0.0,7983
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,1,84245.88600000001,84245.88600000001,84245.88600000001,0.0,78141
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,1,137011.642,137011.642,137011.642,0.0,1040913
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,1,248805.531,248805.531,248805.531,0.0,8005900
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,1,280350.187,280350.187,280350.187,0.0,9674351
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,1,194234.951,194234.951,194234.951,0.0,4223700
obliviator_chained,aml_2hop,chain,2,ibm_aml_hi_small,1,515248.25899999996,515248.25899999996,515248.25899999996,0.0,149212726
obliviator_chained,aml_3hop,chain,3,ibm_aml_hi_small,0,,,,,OOM
obliviator_chained,aml_4hop,chain,4,ibm_aml_hi_small,0,,,,,SKIPPED
obliviator_chained,aml_fanin,fanin,4,ibm_aml_hi_small,0,,,,,UNSUPPORTED
obliviator_chained,aml_fanout,fanout,4,ibm_aml_hi_small,0,,,,,UNSUPPORTED
obliviator_chained,aml_tree,tree,4,ibm_aml_hi_small,0,,,,,UNSUPPORTED
