system,query,shape,edges,dataset,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,1,0,43005.685,344.343,42661.342,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,1,0,,,,OOM
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,1,0,83510.24699999999,344.343,83165.904,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,1,0,137782.099,344.343,137437.756,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,253193.154,344.343,252848.81100000002,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,,,,OOM
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,279265.502,344.343,278921.159,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,,,,OOM
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,1,0,193947.925,344.343,193603.582,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,1,0,,,,OOM
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,2,0,43163.299,350.217,42813.082,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,2,0,,,,OOM
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,2,0,83366.294,350.217,83016.07699999999,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,2,0,,,,SKIPPED
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,2,0,136888.23,350.217,136538.013,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,2,0,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,2,0,252393.01200000002,350.217,252042.795,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,2,0,,,,OOM
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,2,0,275510.572,350.217,275160.355,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,2,0,,,,OOM
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,2,0,194380.45200000002,350.217,194030.23500000002,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,2,0,,,,OOM
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,3,0,43473.088,318.947,43154.141,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,3,0,,,,OOM
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,3,0,82950.56,318.947,82631.613,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,3,0,,,,SKIPPED
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,3,0,138178.286,318.947,137859.339,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,3,0,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,3,0,253015.186,318.947,252696.239,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,3,0,,,,OOM
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,3,0,279441.31799999997,318.947,279122.371,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,3,0,,,,OOM
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,3,0,192591.11299999998,318.947,192272.166,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,3,0,,,,OOM
