system,query,shape,edges,dataset,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,0,1,43352.945,357.21,42995.735,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,0,1,,,,OOM
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,0,1,84185.202,357.21,83827.992,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,0,1,,,,SKIPPED
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,0,1,136644.119,357.21,136286.909,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,0,1,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,0,1,253989.355,357.21,253632.14500000002,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,0,1,,,,OOM
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,0,1,280134.481,357.21,279777.271,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,0,1,,,,OOM
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,0,1,194375.76499999998,357.21,194018.555,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,0,1,,,,OOM
nebuladb,aml_2hop,chain,2,ibm_aml_hi_small,1,0,42929.647,343.728,42585.918999999994,7983
full_mwj_no_filter,aml_2hop,chain,2,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_3hop,chain,3,ibm_aml_hi_small,1,0,84421.988,343.728,84078.26,78141
full_mwj_no_filter,aml_3hop,chain,3,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_4hop,chain,4,ibm_aml_hi_small,1,0,137117.571,343.728,136773.843,1040913
full_mwj_no_filter,aml_4hop,chain,4,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,253958.562,343.728,253614.834,8005900
full_mwj_no_filter,aml_fanin,fanin,4,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,280910.292,343.728,280566.564,9674351
full_mwj_no_filter,aml_fanout,fanout,4,ibm_aml_hi_small,1,0,,,,SKIPPED
nebuladb,aml_tree,tree,4,ibm_aml_hi_small,1,0,193989.246,343.728,193645.518,4223700
full_mwj_no_filter,aml_tree,tree,4,ibm_aml_hi_small,1,0,,,,SKIPPED
