system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,0,42435.414,392.779,42042.634999999995,8,1
obliviator_chained,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,0,51749.791000000005,,,26113069,1
full_mwj_no_filter,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,0,648950.21,,648950.21,26113069,1
nebuladb,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,0,42684.403,398.119,42286.284,407,1
obliviator_chained,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,0,145868.574,,,49466164,1
full_mwj_no_filter,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,0,1192617.8849999998,,1192617.8849999998,49466164,1
nebuladb,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,0,42756.733,395.815,42360.918,902,1
obliviator_chained,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,0,335373.88499999995,,,123599405,1
full_mwj_no_filter,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,0,,,,OOM,
nebuladb,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,0,42398.147,382.107,42016.03999999999,1823,1
obliviator_chained,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,0,1153627.876,,,362117655,1
full_mwj_no_filter,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,0,,,,OOM,
nebuladb,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,2,0,42359.094,392.68,41966.414,8,1
obliviator_chained,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,2,0,52029.254,,,26113069,1
full_mwj_no_filter,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,2,0,653643.279,,653643.279,26113069,1
nebuladb,low,0.1,banking_2hop,1000000,5000000,49466164,407,2,0,42810.199,406.719,42403.48,407,1
obliviator_chained,low,0.1,banking_2hop,1000000,5000000,49466164,407,2,0,143405.481,,,49466164,1
full_mwj_no_filter,low,0.1,banking_2hop,1000000,5000000,49466164,407,2,0,1179650.402,,1179650.402,49466164,1
nebuladb,medium,0.2,banking_2hop,1000000,5000000,123599405,902,2,0,42678.645,389.037,42289.608,902,1
obliviator_chained,medium,0.2,banking_2hop,1000000,5000000,123599405,902,2,0,336970.56,,,123599405,1
full_mwj_no_filter,medium,0.2,banking_2hop,1000000,5000000,123599405,902,2,0,,,,OOM,
nebuladb,high,0.35,banking_2hop,1000000,5000000,362117655,1823,2,0,42489.11,381.17,42107.94,1823,1
obliviator_chained,high,0.35,banking_2hop,1000000,5000000,362117655,1823,2,0,1169945.7540000002,,,362117655,1
full_mwj_no_filter,high,0.35,banking_2hop,1000000,5000000,362117655,1823,2,0,,,,OOM,
nebuladb,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,3,0,42594.754,385.637,42209.117,8,1
obliviator_chained,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,3,0,48197.488,,,26113069,1
full_mwj_no_filter,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,3,0,646382.724,,646382.724,26113069,1
nebuladb,low,0.1,banking_2hop,1000000,5000000,49466164,407,3,0,42545.83900000001,377.696,42168.143000000004,407,1
obliviator_chained,low,0.1,banking_2hop,1000000,5000000,49466164,407,3,0,140365.769,,,49466164,1
full_mwj_no_filter,low,0.1,banking_2hop,1000000,5000000,49466164,407,3,0,1194999.233,,1194999.233,49466164,1
nebuladb,medium,0.2,banking_2hop,1000000,5000000,123599405,902,3,0,42549.322,380.983,42168.339,902,1
obliviator_chained,medium,0.2,banking_2hop,1000000,5000000,123599405,902,3,0,336766.24299999996,,,123599405,1
full_mwj_no_filter,medium,0.2,banking_2hop,1000000,5000000,123599405,902,3,0,,,,OOM,
nebuladb,high,0.35,banking_2hop,1000000,5000000,362117655,1823,3,0,42475.413,377.659,42097.754,1823,1
obliviator_chained,high,0.35,banking_2hop,1000000,5000000,362117655,1823,3,0,1198028.041,,,362117655,1
full_mwj_no_filter,high,0.35,banking_2hop,1000000,5000000,362117655,1823,3,0,,,,OOM,
