system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,n_runs,median_ms,mean_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj_no_filter,high,0.35,banking_2hop,1000000,5000000,362117655,1823,0,,,,,,OOM,
full_mwj_no_filter,low,0.1,banking_2hop,1000000,5000000,49466164,407,3,1192617.8849999998,1189089.173333333,1179650.402,1194999.233,8260.478665700406,49466164,1
full_mwj_no_filter,medium,0.2,banking_2hop,1000000,5000000,123599405,902,0,,,,,,OOM,
full_mwj_no_filter,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,3,648950.21,649658.7376666666,646382.724,653643.279,3681.7690473236003,26113069,1
nebuladb,high,0.35,banking_2hop,1000000,5000000,362117655,1823,3,42475.413,42454.223333333335,42398.147,42489.11,49.044044718329665,1823,1
nebuladb,low,0.1,banking_2hop,1000000,5000000,49466164,407,3,42684.403,42680.147000000004,42545.83900000001,42810.199,132.23137884783284,407,1
nebuladb,medium,0.2,banking_2hop,1000000,5000000,123599405,902,3,42678.645,42661.566666666666,42549.322,42756.733,104.75487020818308,902,1
nebuladb,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,3,42435.414,42463.08733333333,42359.094,42594.754,120.24254211107565,8,1
obliviator_chained,high,0.35,banking_2hop,1000000,5000000,362117655,1823,3,1169945.7540000002,1173867.2236666668,1153627.876,1198028.041,22458.341574273603,362117655,1
obliviator_chained,low,0.1,banking_2hop,1000000,5000000,49466164,407,3,143405.481,143213.27466666666,140365.769,145868.574,2756.4330525039627,49466164,1
obliviator_chained,medium,0.2,banking_2hop,1000000,5000000,123599405,902,3,336766.24299999996,336370.22933333326,335373.88499999995,336970.56,868.8860006044316,123599405,1
obliviator_chained,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,3,51749.791000000005,50658.844333333334,48197.488,52029.254,2136.172076828631,26113069,1
