system,s_target,s_achieved,theta,query,passing_edges,expected_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,1,0,132633.867,347.828,132286.039,12272345,1
full_mwj,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,1,0,337424.37,,337424.37,12272345,1
nebuladb,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,1,0,335909.266,347.828,335561.438,39282354,1
full_mwj,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,1,0,938266.5530000001,,938266.5530000001,39282354,1
nebuladb,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,1,0,421085.79199999996,347.828,420737.964,49322515,1
full_mwj,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,1,0,1166113.1989999998,,1166113.1989999998,49322515,1
nebuladb,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,1,0,535660.1089999999,347.828,535312.281,63353620,1
full_mwj,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,1,0,1487854.852,,1487854.852,63353620,1
nebuladb,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,2,0,131266.77300000002,328.78,130937.993,12272345,1
full_mwj,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,2,0,339441.276,,339441.276,12272345,1
nebuladb,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,2,0,341115.706,328.78,340786.926,39282354,1
full_mwj,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,2,0,945878.7170000001,,945878.7170000001,39282354,1
nebuladb,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,2,0,422276.825,328.78,421948.045,49322515,1
full_mwj,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,2,0,1173466.938,,1173466.938,49322515,1
nebuladb,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,2,0,536027.207,328.78,535698.427,63353620,1
full_mwj,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,2,0,1495681.7000000002,,1495681.7000000002,63353620,1
nebuladb,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,3,0,131886.13199999998,334.479,131551.653,12272345,1
full_mwj,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,3,0,338592.191,,338592.191,12272345,1
nebuladb,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,3,0,336785.969,334.479,336451.49,39282354,1
full_mwj,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,3,0,941681.5430000001,,941681.5430000001,39282354,1
nebuladb,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,3,0,419008.45599999995,334.479,418673.97699999996,49322515,1
full_mwj,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,3,0,1169138.333,,1169138.333,49322515,1
nebuladb,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,3,0,532432.7000000001,334.479,532098.221,63353620,1
full_mwj,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,3,0,1488627.869,,1488627.869,63353620,1
