system,s_target,s_achieved,theta,query,passing_edges,expected_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,1,0,43727.519,363.876,43363.643000000004,2404,1
full_mwj,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,1,0,85737.848,,85737.848,2404,1
nebuladb,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,1,0,44090.763999999996,363.876,43726.888,82596,1
full_mwj,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,1,0,85925.886,,85925.886,82596,1
nebuladb,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,1,0,47776.002,363.876,47412.126000000004,753013,1
full_mwj,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,1,0,97289.738,,97289.738,753013,1
nebuladb,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,1,0,60609.825999999994,363.876,60245.95,2478413,1
full_mwj,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,1,0,133251.027,,133251.027,2478413,1
nebuladb,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,2,0,43731.67,356.314,43375.356,2404,1
full_mwj,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,2,0,85292.171,,85292.171,2404,1
nebuladb,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,2,0,43659.361,356.314,43303.047,82596,1
full_mwj,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,2,0,86376.021,,86376.021,82596,1
nebuladb,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,2,0,47915.582,356.314,47559.268000000004,753013,1
full_mwj,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,2,0,97637.537,,97637.537,753013,1
nebuladb,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,2,0,61043.751000000004,356.314,60687.437000000005,2478413,1
full_mwj,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,2,0,133206.709,,133206.709,2478413,1
nebuladb,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,3,0,43475.15,336.422,43138.728,2404,1
full_mwj,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,3,0,85218.125,,85218.125,2404,1
nebuladb,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,3,0,43448.71399999999,336.422,43112.291999999994,82596,1
full_mwj,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,3,0,85818.761,,85818.761,82596,1
nebuladb,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,3,0,47754.543,336.422,47418.121,753013,1
full_mwj,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,3,0,97067.292,,97067.292,753013,1
nebuladb,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,3,0,60634.899,336.422,60298.477,2478413,1
full_mwj,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,3,0,133455.848,,133455.848,2478413,1
