system,s_target,s_achieved,theta,expected_rows,n_runs,mean_ms,median_ms,min_ms,max_ms,stddev_ms,range_pct,output_rows,rows_match,source
full_mwj,0.001,0.0009997351499356581,416225565,2404,3,85416.048,85292.171,85218.125,85737.848,281.135,0.608,2404,1,cheap
full_mwj,0.01,0.010000108303000289,13524530,82596,3,86040.223,85925.886,85818.761,86376.021,295.701,0.648,82596,1,cheap
full_mwj,0.05,0.049998769284087634,623757,753013,3,97331.522,97289.738,97067.292,97637.537,287.41,0.586,753013,1,cheap
full_mwj,0.1,0.10000009845727299,137275,2478413,3,133304.528,133251.027,133206.709,133455.848,132.907,0.187,2478413,1,cheap
full_mwj,0.25,0.24999384642043815,12298,12272345,3,338485.946,338592.191,337424.37,339441.276,1012.642,0.596,12272345,1,mid
full_mwj,0.5,0.4999118807406744,1415,39282354,3,941942.271,941681.543,938266.553,945878.717,3812.774,0.808,39282354,1,mid
full_mwj,0.55,0.549900607382917,961,49322515,3,1169572.823,1169138.333,1166113.199,1173466.938,3696.073,0.629,49322515,1,mid
full_mwj,0.6,0.5998672795960102,639,63353620,3,1490721.474,1488627.869,1487854.852,1495681.7,4313.035,0.525,63353620,1,mid
full_mwj,0.65,0.6497744836162175,424,95761288,3,2261817.422,2253850.194,2238907.971,2292694.102,27764.087,2.378,95761288,1,s065
full_mwj,0.7,0.6996826722091547,280,134317360,0,,,,,,,OOM,,july_2026-07-16
nebuladb,0.001,0.0009997351499356581,416225565,2404,3,43644.78,43727.519,43475.15,43731.67,146.918,0.588,2404,1,cheap
nebuladb,0.01,0.010000108303000289,13524530,82596,3,43732.946,43659.361,43448.714,44090.764,327.289,1.468,82596,1,cheap
nebuladb,0.05,0.049998769284087634,623757,753013,3,47815.376,47776.002,47754.543,47915.582,87.442,0.337,753013,1,cheap
nebuladb,0.1,0.10000009845727299,137275,2478413,3,60762.825,60634.899,60609.826,61043.751,243.612,0.714,2478413,1,cheap
nebuladb,0.25,0.24999384642043815,12298,12272345,3,131928.924,131886.132,131266.773,132633.867,684.551,1.036,12272345,1,mid
nebuladb,0.5,0.4999118807406744,1415,39282354,3,337936.98,336785.969,335909.266,341115.706,2787.539,1.541,39282354,1,mid
nebuladb,0.55,0.549900607382917,961,49322515,3,420790.358,421085.792,419008.456,422276.825,1654.092,0.777,49322515,1,mid
nebuladb,0.6,0.5998672795960102,639,63353620,3,534706.672,535660.109,532432.7,536027.207,1977.853,0.672,63353620,1,mid
nebuladb,0.65,0.6497744836162175,424,95761288,3,788677.77,788216.975,782128.258,795688.076,6791.643,1.719,95761288,1,s065
nebuladb,0.7,0.6996826722091547,280,134317360,3,1125656.262,1125252.077,1120918.99,1130797.718,4951.751,0.878,134317360,1,hi_nebuladb
nebuladb,0.75,0.7499730719358374,184,182661965,3,1563277.87,1564910.012,1553540.633,1571382.965,9032.448,1.141,182661965,1,hi_nebuladb
nebuladb,0.8,0.7996045955916741,118,233108598,0,,,,,,,OOM,,july_2026-07-16
nebuladb,1.0,1.0,,355144984,0,,,,,,,OOM,,july_2026-07-16
