dataset,workload,nodes,edges,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
banking_1M,banking,1000000,5000000,64,1,1,CSV read (account),IO,355.680,1
banking_1M,banking,1000000,5000000,64,1,1,CSV read (txn),IO,4121.210,1
banking_1M,banking,1000000,5000000,64,1,1,buildNodeIndex,OFFLINE,946.020,1
banking_1M,banking,1000000,5000000,64,1,1,index copy (src),OFFLINE,146.180,1
banking_1M,banking,1000000,5000000,64,1,1,initProbeSide (dst),OFFLINE,138.030,0
banking_1M,banking,1000000,5000000,64,1,1,initProbeSide (src),OFFLINE,158.470,0
banking_1M,banking,1000000,5000000,64,1,1,initProbeSide (wall),OFFLINE,159.290,1
banking_1M,banking,1000000,5000000,64,1,1,deduplicateRows (dst),ONLINE,6.530,0
banking_1M,banking,1000000,5000000,64,1,1,deduplicateRows (src),ONLINE,6.930,0
banking_1M,banking,1000000,5000000,64,1,1,probe dst,ONLINE,226.800,0
banking_1M,banking,1000000,5000000,64,1,1,probe src,ONLINE,231.580,0
banking_1M,banking,1000000,5000000,64,1,1,reduplicateRows (dst),ONLINE,12.150,0
banking_1M,banking,1000000,5000000,64,1,1,reduplicateRows (src),ONLINE,12.660,0
banking_1M,banking,1000000,5000000,64,1,1,unionWith (dst),ONLINE,6.160,0
banking_1M,banking,1000000,5000000,64,1,1,unionWith (src),ONLINE,7.270,0
banking_1M,banking,1000000,5000000,64,1,1,src branch (total),ONLINE,258.470,0
banking_1M,banking,1000000,5000000,64,1,1,parallel_sort (dst),ONLINE,122.290,0
banking_1M,banking,1000000,5000000,64,1,1,dst branch (total),ONLINE,373.990,0
banking_1M,banking,1000000,5000000,64,1,1,parallel branches (wall),ONLINE,392.730,1
banking_1M,banking,1000000,5000000,64,1,1,unionWith (final),ONLINE,5.770,1
banking_1M,banking,1000000,5000000,64,1,1,CSV write,IO,2258.760,1
banking_1M,banking,1000000,5000000,64,2,0,CSV read (account),IO,348.020,1
banking_1M,banking,1000000,5000000,64,2,0,CSV read (txn),IO,3999.710,1
banking_1M,banking,1000000,5000000,64,2,0,buildNodeIndex,OFFLINE,897.520,1
banking_1M,banking,1000000,5000000,64,2,0,index copy (src),OFFLINE,145.570,1
banking_1M,banking,1000000,5000000,64,2,0,initProbeSide (dst),OFFLINE,133.630,0
banking_1M,banking,1000000,5000000,64,2,0,initProbeSide (src),OFFLINE,153.530,0
banking_1M,banking,1000000,5000000,64,2,0,initProbeSide (wall),OFFLINE,154.230,1
banking_1M,banking,1000000,5000000,64,2,0,deduplicateRows (src),ONLINE,5.860,0
banking_1M,banking,1000000,5000000,64,2,0,deduplicateRows (dst),ONLINE,6.830,0
banking_1M,banking,1000000,5000000,64,2,0,probe src,ONLINE,225.140,0
banking_1M,banking,1000000,5000000,64,2,0,probe dst,ONLINE,231.800,0
banking_1M,banking,1000000,5000000,64,2,0,reduplicateRows (src),ONLINE,12.460,0
banking_1M,banking,1000000,5000000,64,2,0,reduplicateRows (dst),ONLINE,11.490,0
