dataset,nodes,edges,stage,category,in_wall_clock,n_runs,median_ms,mean_ms,min_ms,max_ms,stddev_ms
banking_1M,1000000,5000000,CSV read (account),IO,1,3,348.020,348.107,345.860,350.440,2.291
banking_1M,1000000,5000000,CSV read (txn),IO,1,3,3997.150,3995.977,3991.070,3999.710,4.438
banking_1M,1000000,5000000,buildNodeIndex,OFFLINE,1,3,911.730,911.813,897.520,926.190,14.335
banking_1M,1000000,5000000,index copy (src),OFFLINE,1,3,145.570,145.567,145.110,146.020,0.455
banking_1M,1000000,5000000,initProbeSide (dst),OFFLINE,0,3,132.390,131.097,127.270,133.630,3.371
banking_1M,1000000,5000000,initProbeSide (src),OFFLINE,0,3,153.530,153.237,151.840,154.340,1.276
banking_1M,1000000,5000000,initProbeSide (wall),OFFLINE,1,3,154.230,153.980,152.600,155.110,1.274
banking_1M,1000000,5000000,deduplicateRows (src),ONLINE,0,3,5.860,6.507,5.860,7.800,1.120
banking_1M,1000000,5000000,deduplicateRows (dst),ONLINE,0,3,5.810,5.993,5.340,6.830,0.762
banking_1M,1000000,5000000,probe src,ONLINE,0,3,225.140,224.880,224.350,225.150,0.459
banking_1M,1000000,5000000,probe dst,ONLINE,0,3,230.560,228.037,221.750,231.800,5.480
banking_1M,1000000,5000000,reduplicateRows (src),ONLINE,0,3,12.410,12.007,11.150,12.460,0.742
banking_1M,1000000,5000000,reduplicateRows (dst),ONLINE,0,3,12.560,12.397,11.490,13.140,0.837
banking_1M,1000000,5000000,unionWith (src),ONLINE,0,3,8.050,7.817,6.630,8.770,1.089
banking_1M,1000000,5000000,src branch (total),ONLINE,0,3,251.540,251.233,249.950,252.210,1.161
banking_1M,1000000,5000000,unionWith (dst),ONLINE,0,3,4.840,5.023,4.760,5.470,0.389
banking_1M,1000000,5000000,parallel_sort (dst),ONLINE,0,3,128.380,122.900,110.160,130.160,11.069
banking_1M,1000000,5000000,dst branch (total),ONLINE,0,3,374.130,374.397,363.900,385.160,10.633
banking_1M,1000000,5000000,parallel branches (wall),ONLINE,1,3,389.240,390.187,379.610,401.710,11.080
banking_1M,1000000,5000000,unionWith (final),ONLINE,1,3,6.590,6.750,4.750,8.910,2.085
banking_1M,1000000,5000000,CSV write,IO,1,3,2252.180,2254.057,2250.800,2259.190,4.499
hi_small,515088,5078345,CSV read (account),IO,1,3,155.620,155.300,151.440,158.840,3.710
hi_small,515088,5078345,CSV read (txn),IO,1,3,4283.610,4291.873,4279.400,4312.610,18.081
hi_small,515088,5078345,buildNodeIndex,OFFLINE,1,3,476.230,474.707,470.410,477.480,3.773
hi_small,515088,5078345,index copy (src),OFFLINE,1,3,84.800,85.127,83.840,86.740,1.477
hi_small,515088,5078345,initProbeSide (dst),OFFLINE,0,3,163.300,161.380,155.130,165.710,5.545
hi_small,515088,5078345,initProbeSide (src),OFFLINE,0,3,173.390,173.890,172.560,175.720,1.638
hi_small,515088,5078345,initProbeSide (wall),OFFLINE,1,3,174.090,174.573,173.290,176.340,1.581
hi_small,515088,5078345,deduplicateRows (src),ONLINE,0,3,6.070,6.303,5.700,7.140,0.748
hi_small,515088,5078345,deduplicateRows (dst),ONLINE,0,3,5.660,5.640,4.990,6.270,0.640
hi_small,515088,5078345,probe src,ONLINE,0,3,175.380,174.913,170.920,178.440,3.782
hi_small,515088,5078345,probe dst,ONLINE,0,3,173.890,174.540,171.010,178.720,3.896
hi_small,515088,5078345,reduplicateRows (src),ONLINE,0,3,12.460,11.777,10.180,12.690,1.388
hi_small,515088,5078345,reduplicateRows (dst),ONLINE,0,3,11.880,12.123,11.290,13.200,0.978
hi_small,515088,5078345,unionWith (src),ONLINE,0,3,7.100,7.123,6.950,7.320,0.186
hi_small,515088,5078345,src branch (total),ONLINE,0,3,199.680,200.137,196.420,204.310,3.965
hi_small,515088,5078345,unionWith (dst),ONLINE,0,3,6.390,5.817,4.350,6.710,1.280
hi_small,515088,5078345,parallel_sort (dst),ONLINE,0,3,126.030,127.323,124.090,131.850,4.038
hi_small,515088,5078345,dst branch (total),ONLINE,0,3,325.420,325.493,322.580,328.480,2.951
hi_small,515088,5078345,parallel branches (wall),ONLINE,1,3,338.940,340.270,337.580,344.290,3.547
hi_small,515088,5078345,unionWith (final),ONLINE,1,3,5.210,5.450,4.270,6.870,1.317
hi_small,515088,5078345,CSV write,IO,1,3,2467.600,2470.760,2466.220,2478.460,6.704
snb_sf30,165430,12035314,CSV read (account),IO,1,3,67.450,68.117,66.400,70.500,2.130
snb_sf30,165430,12035314,CSV read (txn),IO,1,3,8883.980,8896.743,8848.910,8957.340,55.330
snb_sf30,165430,12035314,buildNodeIndex,OFFLINE,1,3,233.820,236.423,233.250,242.200,5.011
snb_sf30,165430,12035314,index copy (src),OFFLINE,1,3,37.660,38.833,36.670,42.170,2.932
snb_sf30,165430,12035314,initProbeSide (dst),OFFLINE,0,3,371.520,384.410,367.150,414.560,26.202
snb_sf30,165430,12035314,initProbeSide (src),OFFLINE,0,3,388.370,396.410,376.410,424.450,25.009
snb_sf30,165430,12035314,initProbeSide (wall),OFFLINE,1,3,389.000,397.083,377.110,425.140,25.015
snb_sf30,165430,12035314,deduplicateRows (src),ONLINE,0,3,10.670,10.867,10.060,11.870,0.921
snb_sf30,165430,12035314,deduplicateRows (dst),ONLINE,0,3,12.220,12.230,11.990,12.480,0.245
snb_sf30,165430,12035314,probe src,ONLINE,0,3,411.500,421.633,408.290,445.110,20.395
snb_sf30,165430,12035314,reduplicateRows (src),ONLINE,0,3,22.950,22.947,22.370,23.520,0.575
snb_sf30,165430,12035314,unionWith (src),ONLINE,0,3,16.020,15.713,14.740,16.380,0.862
snb_sf30,165430,12035314,src branch (total),ONLINE,0,3,459.890,471.183,456.760,496.900,22.326
