system,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
ours,1,1,1,CSV read (account),IO,346.090,1
ours,1,1,1,CSV read (txn),IO,3963.430,1
ours,1,1,1,buildNodeIndex,OFFLINE,897.510,1
ours,1,1,1,index copy (src),OFFLINE,144.910,1
ours,1,1,1,initProbeSide (dst),OFFLINE,189.000,0
ours,1,1,1,initProbeSide (src),OFFLINE,201.830,0
ours,1,1,1,initProbeSide (wall),OFFLINE,202.460,1
ours,1,1,1,deduplicateRows (src),ONLINE,46.990,0
ours,1,1,1,deduplicateRows (dst),ONLINE,85.000,0
ours,1,1,1,probe src,ONLINE,3625.220,0
ours,1,1,1,probe dst,ONLINE,3607.990,0
ours,1,1,1,reduplicateRows (src),ONLINE,351.520,0
ours,1,1,1,unionWith (src),ONLINE,71.040,0
ours,1,1,1,src branch (total),ONLINE,4094.800,0
ours,1,1,1,reduplicateRows (dst),ONLINE,456.700,0
ours,1,1,1,unionWith (dst),ONLINE,68.390,0
ours,1,1,1,parallel_sort (dst),ONLINE,2247.690,0
ours,1,1,1,dst branch (total),ONLINE,6465.820,0
ours,1,1,1,parallel branches (wall),ONLINE,6480.760,1
ours,1,1,1,unionWith (final),ONLINE,56.980,1
ours,1,1,1,CSV write,IO,2473.010,1
ours,1,2,0,CSV read (account),IO,354.420,1
ours,1,2,0,CSV read (txn),IO,3975.200,1
ours,1,2,0,buildNodeIndex,OFFLINE,868.870,1
ours,1,2,0,index copy (src),OFFLINE,144.880,1
ours,1,2,0,initProbeSide (dst),OFFLINE,173.770,0
ours,1,2,0,initProbeSide (src),OFFLINE,192.470,0
ours,1,2,0,initProbeSide (wall),OFFLINE,193.210,1
ours,1,2,0,deduplicateRows (src),ONLINE,39.250,0
ours,1,2,0,deduplicateRows (dst),ONLINE,76.290,0
ours,1,2,0,probe src,ONLINE,3492.110,0
ours,1,2,0,probe dst,ONLINE,3585.190,0
ours,1,2,0,reduplicateRows (src),ONLINE,216.720,0
ours,1,2,0,unionWith (src),ONLINE,80.340,0
ours,1,2,0,src branch (total),ONLINE,3828.450,0
ours,1,2,0,reduplicateRows (dst),ONLINE,309.500,0
ours,1,2,0,unionWith (dst),ONLINE,66.230,0
ours,1,2,0,parallel_sort (dst),ONLINE,2225.400,0
ours,1,2,0,dst branch (total),ONLINE,6262.670,0
ours,1,2,0,parallel branches (wall),ONLINE,6276.390,1
ours,1,2,0,unionWith (final),ONLINE,57.800,1
ours,1,2,0,CSV write,IO,2476.980,1
obliviator,1,1,1,step 1 (sort),ONLINE,4157.983,0
obliviator,1,1,1,step 1 (total),ONLINE,5038.398,1
obliviator,1,1,1,build intermediate,ONLINE,707.994,1
obliviator,1,1,1,step 2 (sort),ONLINE,4424.996,0
obliviator,1,1,1,step 2 (total),ONLINE,5280.937,1
obliviator,1,1,1,emit (in-memory),ONLINE,682.575,0
obliviator,1,1,1,OBLIVIOUS WORK,ONLINE,11027.329,0
obliviator,1,1,1,OBLIVIOUS WORK + EMIT,ONLINE,11709.904,0
obliviator,1,1,1,CSV load,IO,837.000,0
obliviator,1,1,1,CSV write,IO,163.000,0
obliviator,1,2,0,step 1 (sort),ONLINE,4159.107,0
obliviator,1,2,0,step 1 (total),ONLINE,5003.854,1
obliviator,1,2,0,build intermediate,ONLINE,702.354,1
obliviator,1,2,0,step 2 (sort),ONLINE,4426.591,0
obliviator,1,2,0,step 2 (total),ONLINE,5252.501,1
obliviator,1,2,0,emit (in-memory),ONLINE,682.219,0
obliviator,1,2,0,OBLIVIOUS WORK,ONLINE,10958.709,0
obliviator,1,2,0,OBLIVIOUS WORK + EMIT,ONLINE,11640.928,0
obliviator,1,2,0,CSV load,IO,831.000,0
obliviator,1,2,0,CSV write,IO,160.000,0
ours,2,1,1,CSV read (account),IO,343.990,1
ours,2,1,1,CSV read (txn),IO,3927.800,1
ours,2,1,1,buildNodeIndex,OFFLINE,871.870,1
ours,2,1,1,index copy (src),OFFLINE,140.930,1
ours,2,1,1,initProbeSide (dst),OFFLINE,156.810,0
