system,threads,stage,category,time_ms,in_wall_clock
ours,1,CSV read (account),IO,354.420,1
ours,1,CSV read (txn),IO,3975.200,1
ours,1,buildNodeIndex,OFFLINE,868.870,1
ours,1,index copy (src),OFFLINE,144.880,1
ours,1,initProbeSide (dst),OFFLINE,173.770,0
ours,1,initProbeSide (src),OFFLINE,192.470,0
ours,1,initProbeSide (wall),OFFLINE,193.210,1
ours,1,deduplicateRows (src),ONLINE,39.250,0
ours,1,deduplicateRows (dst),ONLINE,76.290,0
ours,1,probe src,ONLINE,3492.110,0
ours,1,probe dst,ONLINE,3585.190,0
ours,1,reduplicateRows (src),ONLINE,216.720,0
ours,1,unionWith (src),ONLINE,80.340,0
ours,1,src branch (total),ONLINE,3828.450,0
ours,1,reduplicateRows (dst),ONLINE,309.500,0
ours,1,unionWith (dst),ONLINE,66.230,0
ours,1,parallel_sort (dst),ONLINE,2225.400,0
ours,1,dst branch (total),ONLINE,6262.670,0
ours,1,parallel branches (wall),ONLINE,6276.390,1
ours,1,unionWith (final),ONLINE,57.800,1
ours,1,CSV write,IO,2476.980,1
obliviator,1,step 1 (sort),ONLINE,4159.107,0
obliviator,1,step 1 (total),ONLINE,5003.854,1
obliviator,1,build intermediate,ONLINE,702.354,1
obliviator,1,step 2 (sort),ONLINE,4426.591,0
obliviator,1,step 2 (total),ONLINE,5252.501,1
obliviator,1,emit (in-memory),ONLINE,682.219,0
obliviator,1,OBLIVIOUS WORK,ONLINE,10958.709,0
obliviator,1,OBLIVIOUS WORK + EMIT,ONLINE,11640.928,0
obliviator,1,CSV load,IO,831.000,0
obliviator,1,CSV write,IO,160.000,0
ours,2,CSV read (account),IO,357.330,1
ours,2,CSV read (txn),IO,3974.480,1
ours,2,buildNodeIndex,OFFLINE,951.460,1
ours,2,index copy (src),OFFLINE,141.890,1
ours,2,initProbeSide (dst),OFFLINE,156.500,0
ours,2,initProbeSide (src),OFFLINE,175.200,0
ours,2,initProbeSide (wall),OFFLINE,175.990,1
ours,2,deduplicateRows (src),ONLINE,19.370,0
ours,2,deduplicateRows (dst),ONLINE,35.630,0
ours,2,probe src,ONLINE,3567.520,0
ours,2,probe dst,ONLINE,3649.720,0
ours,2,reduplicateRows (src),ONLINE,110.630,0
ours,2,unionWith (src),ONLINE,77.070,0
ours,2,src branch (total),ONLINE,3774.610,0
ours,2,reduplicateRows (dst),ONLINE,152.410,0
ours,2,unionWith (dst),ONLINE,35.390,0
ours,2,parallel_sort (dst),ONLINE,1198.330,0
ours,2,dst branch (total),ONLINE,5071.570,0
ours,2,parallel branches (wall),ONLINE,5091.890,1
ours,2,unionWith (final),ONLINE,37.370,1
ours,2,CSV write,IO,2461.210,1
obliviator,2,step 1 (sort),ONLINE,2199.014,0
obliviator,2,step 1 (total),ONLINE,2784.022,1
obliviator,2,build intermediate,ONLINE,363.232,1
obliviator,2,step 2 (sort),ONLINE,2355.507,0
obliviator,2,step 2 (total),ONLINE,2976.322,1
obliviator,2,emit (in-memory),ONLINE,345.225,0
obliviator,2,OBLIVIOUS WORK,ONLINE,6123.576,0
obliviator,2,OBLIVIOUS WORK + EMIT,ONLINE,6468.801,0
obliviator,2,CSV load,IO,846.000,0
obliviator,2,CSV write,IO,155.000,0
ours,4,CSV read (account),IO,352.710,1
ours,4,CSV read (txn),IO,3947.000,1
ours,4,buildNodeIndex,OFFLINE,877.450,1
ours,4,index copy (src),OFFLINE,122.390,1
ours,4,initProbeSide (dst),OFFLINE,150.710,0
ours,4,initProbeSide (src),OFFLINE,161.970,0
ours,4,initProbeSide (wall),OFFLINE,162.570,1
ours,4,deduplicateRows (src),ONLINE,15.710,0
ours,4,deduplicateRows (dst),ONLINE,17.960,0
ours,4,probe dst,ONLINE,1843.530,0
ours,4,reduplicateRows (dst),ONLINE,61.580,0
ours,4,unionWith (dst),ONLINE,19.810,0
ours,4,probe src,ONLINE,1940.990,0
ours,4,reduplicateRows (src),ONLINE,219.770,0
ours,4,unionWith (src),ONLINE,85.460,0
ours,4,src branch (total),ONLINE,2261.960,0
ours,4,parallel_sort (dst),ONLINE,659.430,0
ours,4,dst branch (total),ONLINE,2602.360,0
ours,4,parallel branches (wall),ONLINE,2621.590,1
ours,4,unionWith (final),ONLINE,54.640,1
ours,4,CSV write,IO,2431.400,1
obliviator,4,step 1 (sort),ONLINE,1102.061,0
obliviator,4,step 1 (total),ONLINE,1434.342,1
obliviator,4,build intermediate,ONLINE,186.039,1
obliviator,4,step 2 (sort),ONLINE,1185.545,0
obliviator,4,step 2 (total),ONLINE,1527.192,1
obliviator,4,emit (in-memory),ONLINE,176.689,0
obliviator,4,OBLIVIOUS WORK,ONLINE,3147.573,0
obliviator,4,OBLIVIOUS WORK + EMIT,ONLINE,3324.262,0
obliviator,4,CSV load,IO,839.000,0
obliviator,4,CSV write,IO,153.000,0
ours,8,CSV read (account),IO,355.270,1
ours,8,CSV read (txn),IO,3946.220,1
ours,8,buildNodeIndex,OFFLINE,906.040,1
ours,8,index copy (src),OFFLINE,137.290,1
ours,8,initProbeSide (dst),OFFLINE,135.760,0
ours,8,initProbeSide (src),OFFLINE,159.300,0
ours,8,initProbeSide (wall),OFFLINE,159.960,1
ours,8,deduplicateRows (src),ONLINE,9.110,0
ours,8,deduplicateRows (dst),ONLINE,11.770,0
ours,8,probe dst,ONLINE,972.760,0
ours,8,reduplicateRows (dst),ONLINE,48.010,0
ours,8,probe src,ONLINE,1032.500,0
ours,8,unionWith (dst),ONLINE,10.410,0
ours,8,reduplicateRows (src),ONLINE,147.920,0
ours,8,unionWith (src),ONLINE,68.500,0
ours,8,src branch (total),ONLINE,1258.040,0
ours,8,parallel_sort (dst),ONLINE,365.160,0
ours,8,dst branch (total),ONLINE,1408.160,0
ours,8,parallel branches (wall),ONLINE,1424.540,1
ours,8,unionWith (final),ONLINE,16.820,1
ours,8,CSV write,IO,2420.770,1
obliviator,8,step 1 (sort),ONLINE,595.675,0
obliviator,8,step 1 (total),ONLINE,797.386,1
obliviator,8,build intermediate,ONLINE,102.821,1
obliviator,8,step 2 (sort),ONLINE,631.790,0
obliviator,8,step 2 (total),ONLINE,831.138,1
obliviator,8,emit (in-memory),ONLINE,96.262,0
obliviator,8,OBLIVIOUS WORK,ONLINE,1731.345,0
